Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes,Vote Share (%)
10001,Avalon,Alexander Tilley,Parti Rhinocéros Party,230,0.5
10001,Avalon,Judy Vanta,NDP-New Democratic Party,2284,4.9
10001,Avalon,Paul Connors,Liberal,27563,58.6
10001,Avalon,Steve Kent,Conservative,16953,36.0
10002,Cape Spear,Brenda Walsh,NDP-New Democratic Party,2446,5.3
10002,Cape Spear,Corey Curtis,Conservative,11844,25.8
10002,Cape Spear,Kaelem Tingate,Green Party,140,0.3
10002,Cape Spear,Mike Peach,Animal Protection Party,170,0.4
10002,Cape Spear,Tom Osborne,Liberal,31388,68.3
10003,Central Newfoundland,Clifford Small,Conservative,21975,54.1
10003,Central Newfoundland,Darian Vincent,NDP-New Democratic Party,965,2.4
10003,Central Newfoundland,Lynette Powell,Liberal,17696,43.5
10004,Labrador,Ella Wallace,Conservative,4709,41.7
10004,Labrador,Marius Normore,NDP-New Democratic Party,764,6.8
10004,Labrador,Philip Earle,Liberal,5811,51.5
10005,Long Range Mountains,Carol Anstey,Conservative,23232,50.3
10005,Long Range Mountains,Don Bradshaw,Liberal,19726,42.7
10005,Long Range Mountains,Pamela Geiger,People's Party - PPC,537,1.2
10005,Long Range Mountains,Robbie Coles,Independent,637,1.4
10005,Long Range Mountains,Sarah Parsons,NDP-New Democratic Party,2011,4.4
10006,St. John's East,David Brazil,Conservative,11941,25.9
10006,St. John's East,Joanne Thompson,Liberal,28681,62.3
10006,St. John's East,Mary Shortall,NDP-New Democratic Party,5172,11.2
10006,St. John's East,Otis Crandell,Green Party,159,0.3
10006,St. John's East,Samuel Crête,Communist,98,0.2
10007,Terra Nova--The Peninsulas,Anthony Germain,Liberal,19593,47.9
10007,Terra Nova--The Peninsulas,Jonathan Rowe,Conservative,19605,48.0
10007,Terra Nova--The Peninsulas,Liam Ryan,NDP-New Democratic Party,1677,4.1
11001,Cardigan,Adam Harding,People's Party - PPC,180,0.7
11001,Cardigan,James Aylward,Conservative,9442,37.4
11001,Cardigan,Kent MacDonald,Liberal,14404,57.0
11001,Cardigan,Lynne Thiele,NDP-New Democratic Party,505,2.0
11001,Cardigan,Maria Rodriguez,Green Party,326,1.3
11001,Cardigan,Wayne Phelan,Independent,404,1.6
11002,Charlottetown,Daniel Cousins,Green Party,257,1.2
11002,Charlottetown,Joe Byrne,NDP-New Democratic Party,906,4.3
11002,Charlottetown,Natalie Jameson,Conservative,6139,29.1
11002,Charlottetown,Robert Lucas,People's Party - PPC,131,0.6
11002,Charlottetown,Sean Casey,Liberal,13656,64.8
11003,Egmont,Bobby Morrissey,Liberal,12466,51.9
11003,Egmont,Carol Rybinski,NDP-New Democratic Party,585,2.4
11003,Egmont,Logan McLellan,Conservative,10419,43.4
11003,Egmont,Ranald MacFarlane,Green Party,538,2.2
11004,Malpeque,Anna Keenan,Green Party,1049,3.9
11004,Malpeque,Cassie Mackay,NDP-New Democratic Party,371,1.4
11004,Malpeque,Heath MacDonald,Liberal,15485,57.6
11004,Malpeque,Hilda Baughan,People's Party - PPC,132,0.5
11004,Malpeque,Jamie Fox,Conservative,9846,36.6
12001,Acadie--Annapolis,Chris d'Entremont,Conservative,23024,47.7
12001,Acadie--Annapolis,Ingrid Deon,NDP-New Democratic Party,1768,3.7
12001,Acadie--Annapolis,James Strange,People's Party - PPC,432,0.9
12001,Acadie--Annapolis,Matthew Piggott,Green Party,583,1.2
12001,Acadie--Annapolis,Ronnie LeBlanc,Liberal,22491,46.6
12002,Cape Breton--Canso--Antigonish,Allan MacMaster,Conservative,20870,43.2
12002,Cape Breton--Canso--Antigonish,Jaime Battiste,Liberal,24908,51.6
12002,Cape Breton--Canso--Antigonish,Joanna Clark,NDP-New Democratic Party,1930,4.0
12002,Cape Breton--Canso--Antigonish,Rebecca Wall,Independent,237,0.5
12002,Cape Breton--Canso--Antigonish,Ryan Smyth,People's Party - PPC,333,0.7
12003,Central Nova,Alexander MacKenzie,Independent,235,0.5
12003,Central Nova,Brycen Jenkins,Conservative,21465,42.7
12003,Central Nova,Charlie MacEachern,People's Party - PPC,331,0.7
12003,Central Nova,Gerald Romsa,Green Party,455,0.9
12003,Central Nova,Jesiah MacDonald,NDP-New Democratic Party,1649,3.3
12003,Central Nova,Sean Fraser,Liberal,26078,51.9
12004,Cumberland--Colchester,Alana Hirtle,Liberal,23929,48.3
12004,Cumberland--Colchester,Kelly-Ann Callaghan,Green Party,694,1.4
12004,Cumberland--Colchester,Larry Duchesne,NDP-New Democratic Party,1873,3.8
12004,Cumberland--Colchester,Paul Church,People's Party - PPC,333,0.7
12004,Cumberland--Colchester,Stephen Ellis,Conservative,22701,45.8
12005,Dartmouth--Cole Harbour,Darren Fisher,Liberal,40367,67.7
12005,Dartmouth--Cole Harbour,Isabelle Obeid,Conservative,13557,22.7
12005,Dartmouth--Cole Harbour,Joseph Shea,Libertarian,131,0.2
12005,Dartmouth--Cole Harbour,Keith Morrison,NDP-New Democratic Party,4201,7.0
12005,Dartmouth--Cole Harbour,Michelle Lindsay,People's Party - PPC,750,1.3
12005,Dartmouth--Cole Harbour,Rana Zaman,Green Party,628,1.1
12006,Halifax,Amethyste Hamel-Gregory,Green Party,422,0.8
12006,Halifax,Lisa Roberts,NDP-New Democratic Party,8642,16.6
12006,Halifax,Maricar Aliasut,People's Party - PPC,271,0.5
12006,Halifax,Mark Boudreau,Conservative,9939,19.1
12006,Halifax,Shannon Miedema,Liberal,32886,63.0
12007,Halifax West,Adam LeRue,People's Party - PPC,384,0.7
12007,Halifax West,Lena Metlege Diab,Liberal,36200,65.6
12007,Halifax West,Rae Tench,NDP-New Democratic Party,3083,5.6
12007,Halifax West,Rob Batherson,Conservative,15020,27.2
12007,Halifax West,Ron G. Parker,Green Party,497,0.9
12008,Kings--Hants,Alexander Cargill,People's Party - PPC,591,1.0
12008,Kings--Hants,Joel Hirtle,Conservative,19773,33.4
12008,Kings--Hants,Karen Beazley,Green Party,825,1.4
12008,Kings--Hants,Kody Blois,Liberal,35836,60.6
12008,Kings--Hants,Paul Doerr,NDP-New Democratic Party,2154,3.6
12009,Sackville--Bedford--Preston,Andre Anderson,Green Party,526,0.9
12009,Sackville--Bedford--Preston,Braedon Clark,Liberal,36062,62.0
12009,Sackville--Bedford--Preston,Dave Carroll,Conservative,18860,32.4
12009,Sackville--Bedford--Preston,Isaac Wilson,NDP-New Democratic Party,2324,4.0
12009,Sackville--Bedford--Preston,Ryan Slaney,People's Party - PPC,418,0.7
12010,South Shore--St. Margarets,Hayden Henderson,Independent,500,1.0
12010,South Shore--St. Margarets,Jessica Fancy-Landry,Liberal,27831,54.9
12010,South Shore--St. Margarets,Mark Embrett,Green Party,818,1.6
12010,South Shore--St. Margarets,Patrick Shea Boyd,People's Party - PPC,698,1.4
12010,South Shore--St. Margarets,Rick Perkins,Conservative,20864,41.1
12011,Sydney--Glace Bay,Anna Manley,Conservative,17978,38.1
12011,Sydney--Glace Bay,Chris Gallant,Canadian Future Party,169,0.4
12011,Sydney--Glace Bay,Jeffrey Evely,People's Party - PPC,589,1.2
12011,Sydney--Glace Bay,Joe Ward,Independent,601,1.3
12011,Sydney--Glace Bay,Kimberly Losier,NDP-New Democratic Party,1789,3.8
12011,Sydney--Glace Bay,Michael Pittman,Libertarian,189,0.4
12011,Sydney--Glace Bay,Mike Kelloway,Liberal,25766,54.6
12011,Sydney--Glace Bay,Nik Boisvert,Marxist-Leninist,85,0.2
13001,Acadie--Bathurst,James Brown,Conservative,12541,26.0
13001,Acadie--Bathurst,Randi Rachelle Raynard,People's Party - PPC,1043,2.2
13001,Acadie--Bathurst,Serge Cormier,Liberal,32556,67.5
13001,Acadie--Bathurst,Ty Boulay,NDP-New Democratic Party,2108,4.4
13002,Beauséjour,Alex Gagne,NDP-New Democratic Party,1448,2.4
13002,Beauséjour,Dominic LeBlanc,Liberal,36139,60.6
13002,Beauséjour,Donna Allen,Libertarian,388,0.7
13002,Beauséjour,Eddie Cornell,People's Party - PPC,503,0.8
13002,Beauséjour,Josh Shaddick,Green Party,1291,2.2
13002,Beauséjour,Nathalie Vautour,Conservative,19862,33.3
13003,Fredericton--Oromocto,Brandon Ellis,Centrist,44,0.1
13003,Fredericton--Oromocto,Brian Macdonald,Conservative,16200,32.3
13003,Fredericton--Oromocto,David Myles,Liberal,30750,61.3
13003,Fredericton--Oromocto,Dominic Cardy,Canadian Future Party,345,0.7
13003,Fredericton--Oromocto,Heather Michaud,People's Party - PPC,208,0.4
13003,Fredericton--Oromocto,June Patterson,Communist,146,0.3
13003,Fredericton--Oromocto,Nicki Lyons-MacFarlane,NDP-New Democratic Party,908,1.8
13003,Fredericton--Oromocto,Pam Allen-Leblanc,Green Party,1568,3.1
13004,Fundy Royal,Alastair MacFarlane,People's Party - PPC,629,1.3
13004,Fundy Royal,Bill Kudla,Liberal,19103,40.1
13004,Fundy Royal,Cindy Andrie,NDP-New Democratic Party,1507,3.2
13004,Fundy Royal,Hans Johnsen,Green Party,961,2.0
13004,Fundy Royal,Rob Moore,Conservative,25411,53.4
13005,Madawaska--Restigouche,Daisy Petersen,NDP-New Democratic Party,1251,3.0
13005,Madawaska--Restigouche,Guillaume Deschênes-Thériault,Liberal,22720,55.2
13005,Madawaska--Restigouche,Michel Morin,Conservative,16320,39.6
13005,Madawaska--Restigouche,Nancy Mercier,People's Party - PPC,887,2.2
13006,Miramichi--Grand Lake,Josh Floyd,NDP-New Democratic Party,968,2.5
13006,Miramichi--Grand Lake,Lisa Harris,Liberal,18037,47.1
13006,Miramichi--Grand Lake,Matthew Ian Clark,Green Party,831,2.2
13006,Miramichi--Grand Lake,Mike Dawson,Conservative,18421,48.2
13007,Moncton--Dieppe,Ginette Petitpas Taylor,Liberal,30215,63.0
13007,Moncton--Dieppe,Jocelyn Dionne,Conservative,14974,31.2
13007,Moncton--Dieppe,Marshall Dunn,Green Party,994,2.1
13007,Moncton--Dieppe,Serge Landry,NDP-New Democratic Party,1775,3.7
13008,Saint John--Kennebecasis,Armand Cormier,NDP-New Democratic Party,1206,2.7
13008,Saint John--Kennebecasis,Austin Venedam,Libertarian,108,0.2
13008,Saint John--Kennebecasis,David MacFarquhar,Green Party,737,1.6
13008,Saint John--Kennebecasis,Melissa Young,Conservative,16787,37.3
13008,Saint John--Kennebecasis,Wayne Long,Liberal,26129,58.1
13009,Saint John--St. Croix,Andrew Hill,NDP-New Democratic Party,1643,3.3
13009,Saint John--St. Croix,Gerald Irish,Green Party,794,1.6
13009,Saint John--St. Croix,John Williamson,Conservative,26591,53.1
13009,Saint John--St. Croix,Karen Ludwig,Liberal,20784,41.5
13009,Saint John--St. Croix,Keith Tays,Libertarian,280,0.6
13010,Tobique--Mactaquac,Julian Moulton,Liberal,14226,35.9
13010,Tobique--Mactaquac,Liam MacDougall,Green Party,806,2.0
13010,Tobique--Mactaquac,Michael John Winter,NDP-New Democratic Party,812,2.0
13010,Tobique--Mactaquac,Richard Bragdon,Conservative,23322,58.8
13010,Tobique--Mactaquac,Vern Brundle,People's Party - PPC,501,1.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Mandy Gull-Masty,Liberal,12578,41.2
24001,Abitibi--Baie-James--Nunavik--Eeyou,Steve Corriveau,Conservative,6850,22.4
24001,Abitibi--Baie-James--Nunavik--Eeyou,Sylvie Bérubé,Bloc Québécois,10381,34.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,Thai Dillon Higashihara,NDP-New Democratic Party,752,2.5
24002,Abitibi--Témiscamingue,Jonathan Andresen,Liberal,13551,27.0
24002,Abitibi--Témiscamingue,Jérémie Juneau,NDP-New Democratic Party,1480,3.0
24002,Abitibi--Témiscamingue,Steve Tardif,Conservative,9861,19.7
24002,Abitibi--Témiscamingue,Sébastien Lemire,Bloc Québécois,24774,49.4
24002,Abitibi--Témiscamingue,Vincent Palin-Bussières,Parti Rhinocéros Party,449,0.9
24003,Ahuntsic-Cartierville,Idil Issa,NDP-New Democratic Party,3333,6.6
24003,Ahuntsic-Cartierville,Linda Sullivan,Marxist-Leninist,273,0.5
24003,Ahuntsic-Cartierville,Margie Ramos,Conservative,7600,15.0
24003,Ahuntsic-Cartierville,Mélanie Joly,Liberal,30833,61.0
24003,Ahuntsic-Cartierville,Nabila Ben Youssef,Bloc Québécois,8538,16.9
24004,Alfred-Pellan,Angelo Iacono,Liberal,32934,54.6
24004,Alfred-Pellan,Isabel Dion,Bloc Québécois,12259,20.3
24004,Alfred-Pellan,Jordan Larochelle,NDP-New Democratic Party,2044,3.4
24004,Alfred-Pellan,Louis Ialenti,Conservative,12671,21.0
24004,Alfred-Pellan,Ludovic Mbany,People's Party - PPC,423,0.7
24005,Argenteuil--La Petite-Nation,Bertha Fuchsman-Small,Green Party,807,1.4
24005,Argenteuil--La Petite-Nation,Lindsey Therrien,People's Party - PPC,586,1.0
24005,Argenteuil--La Petite-Nation,Martin Charron,Conservative,14697,24.8
24005,Argenteuil--La Petite-Nation,Martin Héroux,Bloc Québécois,13520,22.8
24005,Argenteuil--La Petite-Nation,Michel Welt,NDP-New Democratic Party,1499,2.5
24005,Argenteuil--La Petite-Nation,Stéphane Lauzon,Liberal,28124,47.5
24006,Beauce,Annabelle Lafond-Poirier,NDP-New Democratic Party,1100,1.7
24006,Beauce,Gaétan Mathieu,Bloc Québécois,8595,13.6
24006,Beauce,Jason Groleau,Conservative,37604,59.7
24006,Beauce,Maryelle-Henriette Doumbia,Liberal,12057,19.1
24006,Beauce,Maxime Bernier,People's Party - PPC,3626,5.8
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Claude Debellefeuille,Bloc Québécois,30005,43.9
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Kristian Solarik,Green Party,802,1.2
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Martin Lévesque,People's Party - PPC,675,1.0
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Miguel Perras,Liberal,21939,32.1
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Priska St-Pierre,Conservative,13230,19.4
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Tyler Jones,NDP-New Democratic Party,1663,2.4
24008,Beauport--Limoilou,Andrée Massicotte,People's Party - PPC,396,0.6
24008,Beauport--Limoilou,Claude Moreau,Marxist-Leninist,95,0.2
24008,Beauport--Limoilou,Dalila Elhak,Green Party,924,1.5
24008,Beauport--Limoilou,Hugo Langlois,Conservative,18492,30.1
24008,Beauport--Limoilou,Julie Vignola,Bloc Québécois,17558,28.6
24008,Beauport--Limoilou,Raymond Côté,NDP-New Democratic Party,2095,3.4
24008,Beauport--Limoilou,Steeve Lavoie,Liberal,21858,35.6
24009,Bécancour--Nicolet--Saurel--Alnôbak,Lara Stillo,People's Party - PPC,432,0.8
24009,Bécancour--Nicolet--Saurel--Alnôbak,Louis Plamondon,Bloc Québécois,25506,47.0
24009,Bécancour--Nicolet--Saurel--Alnôbak,Michel Plourde,Conservative,11717,21.6
24009,Bécancour--Nicolet--Saurel--Alnôbak,Pierre Tousignant,Liberal,14813,27.3
24009,Bécancour--Nicolet--Saurel--Alnôbak,Tommy Gagnon,NDP-New Democratic Party,1112,2.0
24009,Bécancour--Nicolet--Saurel--Alnôbak,Yanick Lapierre,Green Party,738,1.4
24010,Bellechasse--Les Etchemins--Lévis,Dominique Vien,Conservative,32097,49.1
24010,Bellechasse--Les Etchemins--Lévis,Gaby Breton,Bloc Québécois,12244,18.7
24010,Bellechasse--Les Etchemins--Lévis,Glenn O'Farrell,Liberal,18642,28.5
24010,Bellechasse--Les Etchemins--Lévis,Marie-Philippe Gagnon Gauthier,NDP-New Democratic Party,1621,2.5
24010,Bellechasse--Les Etchemins--Lévis,Mario Fréchette,People's Party - PPC,794,1.2
24011,Beloeil--Chambly,Marie-Josée Béliveau,NDP-New Democratic Party,2391,3.5
24011,Beloeil--Chambly,Nicholas Malouin,Liberal,23136,34.0
24011,Beloeil--Chambly,Nicholas Manes,People's Party - PPC,482,0.7
24011,Beloeil--Chambly,Sylvain Goulet,Conservative,9199,13.5
24011,Beloeil--Chambly,Yves-François Blanchet,Bloc Québécois,32844,48.3
24012,Berthier--Maskinongé,Daniel Simon,Green Party,551,0.9
24012,Berthier--Maskinongé,Elia Gomez-Gnali,People's Party - PPC,575,0.9
24012,Berthier--Maskinongé,Peter Saliba,Conservative,10641,17.2
24012,Berthier--Maskinongé,Ruth Ellen Brosseau,NDP-New Democratic Party,13457,21.7
24012,Berthier--Maskinongé,Stéphane Bilodeau,Liberal,15056,24.3
24012,Berthier--Maskinongé,Yves Perron,Bloc Québécois,21676,35.0
24013,Bourassa,Abdelhaq Sari,Liberal,21198,58.6
24013,Bourassa,Catherine Gauvin,NDP-New Democratic Party,2137,5.9
24013,Bourassa,Dominique Théberge,Marxist-Leninist,140,0.4
24013,Bourassa,Jean-Marc Lamothe,People's Party - PPC,433,1.2
24013,Bourassa,Jency Mercier,Bloc Québécois,6206,17.1
24013,Bourassa,Néhémie Dumay,Conservative,5905,16.3
24013,Bourassa,Philippe Tessier,No Affiliation,183,0.5
24014,Brome--Missisquoi,Jack McLeod,People's Party - PPC,561,0.8
24014,Brome--Missisquoi,Jeff Boudreault,Bloc Québécois,20182,28.0
24014,Brome--Missisquoi,Louis Villeneuve,Liberal,34727,48.3
24014,Brome--Missisquoi,Michelle Corcos,Green Party,1139,1.6
24014,Brome--Missisquoi,Steve Charbonneau,Conservative,13743,19.1
24014,Brome--Missisquoi,Zoé Larose,NDP-New Democratic Party,1600,2.2
24015,Brossard--Saint-Lambert,Alexandra Mendès,Liberal,36541,62.2
24015,Brossard--Saint-Lambert,Gregory De Luca,Green Party,855,1.5
24015,Brossard--Saint-Lambert,Hector Huerta,People's Party - PPC,381,0.6
24015,Brossard--Saint-Lambert,Soledad Orihuela-Bouchard,Bloc Québécois,7837,13.3
24015,Brossard--Saint-Lambert,William Huynh-Jan,Conservative,11076,18.9
24015,Brossard--Saint-Lambert,Zeinab Mistou Akkaoui,NDP-New Democratic Party,2049,3.5
24016,Charlesbourg--Haute-Saint-Charles,Bladimir Laborit Infante,Bloc Québécois,12346,18.9
24016,Charlesbourg--Haute-Saint-Charles,Danick Bisson,Independent,357,0.5
24016,Charlesbourg--Haute-Saint-Charles,Dominique Harrisson,NDP-New Democratic Party,1752,2.7
24016,Charlesbourg--Haute-Saint-Charles,Louis Bellemare,Liberal,22597,34.6
24016,Charlesbourg--Haute-Saint-Charles,Paul Cyr,People's Party - PPC,516,0.8
24016,Charlesbourg--Haute-Saint-Charles,Pierre Paul-Hus,Conservative,27698,42.4
24017,Châteauguay--Les Jardins-de-Napierville,David De Repentigny,Conservative,13538,21.7
24017,Châteauguay--Les Jardins-de-Napierville,Hannah Wolker,NDP-New Democratic Party,1377,2.2
24017,Châteauguay--Les Jardins-de-Napierville,Martine Desrochers,Green Party,773,1.2
24017,Châteauguay--Les Jardins-de-Napierville,Nathalie Provost,Liberal,28224,45.2
24017,Châteauguay--Les Jardins-de-Napierville,Nicolas Guérin,People's Party - PPC,429,0.7
24017,Châteauguay--Les Jardins-de-Napierville,Patrick O'Hara,Bloc Québécois,18160,29.1
24018,Chicoutimi--Le Fjord,François Sabourin,People's Party - PPC,339,0.7
24018,Chicoutimi--Le Fjord,Marc St-Hilaire,Bloc Québécois,15857,31.2
24018,Chicoutimi--Le Fjord,Raphaël Émond,NDP-New Democratic Party,991,1.9
24018,Chicoutimi--Le Fjord,Richard Martel,Conservative,17356,34.1
24018,Chicoutimi--Le Fjord,Stéphane Proulx,Liberal,15820,31.1
24018,Chicoutimi--Le Fjord,Yves Laporte,Green Party,476,0.9
24019,Compton--Stanstead,Jacques Painchaud,Conservative,14292,21.8
24019,Compton--Stanstead,Marianne Dandurand,Liberal,29951,45.6
24019,Compton--Stanstead,Nathalie Bresse,Bloc Québécois,17305,26.4
24019,Compton--Stanstead,Paul Lehmann,People's Party - PPC,787,1.2
24019,Compton--Stanstead,Sébastien Tremblay,Green Party,1161,1.8
24019,Compton--Stanstead,Valérie Laliberté,NDP-New Democratic Party,2124,3.2
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Alexie Plourde,Green Party,682,1.1
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Bernard Généreux,Conservative,28873,45.8
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Diane Sénécal,Bloc Québécois,12598,20.0
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Iseult L'Heureux Hubert,NDP-New Democratic Party,1072,1.7
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Jean-François Morin,People's Party - PPC,464,0.7
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Rémi Massé,Liberal,19097,30.3
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Thibaud Mony,Parti Rhinocéros Party,206,0.3
24021,Côte-Nord--Kawawachikamach--Nitassinan,Gilles Babin,No Affiliation,193,0.5
24021,Côte-Nord--Kawawachikamach--Nitassinan,Kevin Coutu,Liberal,10185,27.4
24021,Côte-Nord--Kawawachikamach--Nitassinan,Marika Lalime,NDP-New Democratic Party,640,1.7
24021,Côte-Nord--Kawawachikamach--Nitassinan,Marilène Gill,Bloc Québécois,16243,43.7
24021,Côte-Nord--Kawawachikamach--Nitassinan,Mélanie Dorion,Conservative,9365,25.2
24021,Côte-Nord--Kawawachikamach--Nitassinan,Sébastien Beaulieu,Parti Rhinocéros Party,557,1.5
24022,Dorval--Lachine--LaSalle,Alioune Sarr,Conservative,10428,20.7
24022,Dorval--Lachine--LaSalle,Amir Badr Eldeen,Green Party,823,1.6
24022,Dorval--Lachine--LaSalle,André Lavigne,Parti Rhinocéros Party,251,0.5
24022,Dorval--Lachine--LaSalle,Angélique Soleil Lavoie,NDP-New Democratic Party,2104,4.2
24022,Dorval--Lachine--LaSalle,Anju Dhillon,Liberal,29927,59.4
24022,Dorval--Lachine--LaSalle,Katy Le Rougetel,No Affiliation,71,0.1
24022,Dorval--Lachine--LaSalle,Michael Patterson,People's Party - PPC,478,0.9
24022,Dorval--Lachine--LaSalle,Pauline Fleur Julie Postel,Bloc Québécois,6338,12.6
24023,Drummond,François Choquette,NDP-New Democratic Party,2607,4.6
24023,Drummond,François Fréchette,Conservative,12790,22.7
24023,Drummond,Ghada Jerbi,Liberal,15998,28.4
24023,Drummond,Martin Champoux,Bloc Québécois,24071,42.8
24023,Drummond,William Trottier,People's Party - PPC,773,1.4
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Alexis Deschênes,Bloc Québécois,26091,45.8
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Christian Rioux,People's Party - PPC,452,0.8
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Denise Giroux,NDP-New Democratic Party,1005,1.8
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Diane Lebouthillier,Liberal,21817,38.3
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Jean-Pierre Pigeon,Conservative,7047,12.4
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Shawn Grenier,Parti Rhinocéros Party,572,1.0
24025,Gatineau,Daniel Simoncic,NDP-New Democratic Party,1615,2.8
24025,Gatineau,Kethlande Pierre,Conservative,10982,19.1
24025,Gatineau,Mathieu Saint-Jean,People's Party - PPC,505,0.9
24025,Gatineau,Pierre Soublière,Marxist-Leninist,173,0.3
24025,Gatineau,Richard Nadeau,Bloc Québécois,9373,16.3
24025,Gatineau,Steven MacKinnon,Liberal,34751,60.5
24026,Hochelaga--Rosemont-Est,Carl Belley,Conservative,5402,10.6
24026,Hochelaga--Rosemont-Est,Christine Dandenault,Marxist-Leninist,242,0.5
24026,Hochelaga--Rosemont-Est,Jacob Pirro,Green Party,1329,2.6
24026,Hochelaga--Rosemont-Est,Julie Girard-Lemay,NDP-New Democratic Party,6671,13.0
24026,Hochelaga--Rosemont-Est,Marie-Gabrielle Ménard,Liberal,23601,46.1
24026,Hochelaga--Rosemont-Est,Rose Lessard,Bloc Québécois,13902,27.2
24027,Honoré-Mercier,Djaouida Sellah,NDP-New Democratic Party,1787,3.6
24027,Honoré-Mercier,Edline Henri,Bloc Québécois,6435,12.9
24027,Honoré-Mercier,Eric St-Pierre,Liberal,29947,60.2
24027,Honoré-Mercier,Gaëtan Bérard,Green Party,568,1.1
24027,Honoré-Mercier,Ingrid Fernanda Megni,Conservative,10692,21.5
24027,Honoré-Mercier,Marie-Louise Beauchamp,People's Party - PPC,351,0.7
24028,Hull--Aylmer,Alexandre Deschênes,Marxist-Leninist,208,0.4
24028,Hull--Aylmer,Alice Grondin,Bloc Québécois,6248,12.1
24028,Hull--Aylmer,Frédéric Morin-Paquette,Green Party,1130,2.2
24028,Hull--Aylmer,Greg Fergus,Liberal,31978,62.1
24028,Hull--Aylmer,Jean-Jacques Desgranges,People's Party - PPC,341,0.7
24028,Hull--Aylmer,Jill Declare,Conservative,8727,16.9
24028,Hull--Aylmer,Pascale Matecki,NDP-New Democratic Party,2855,5.5
24029,Joliette--Manawan,Gabriel Ste-Marie,Bloc Québécois,28196,49.3
24029,Joliette--Manawan,Marc Allaire,Liberal,17890,31.3
24029,Joliette--Manawan,Pascal Bapfou Vozang Siewe,Conservative,8721,15.2
24029,Joliette--Manawan,Vanessa Gordon,NDP-New Democratic Party,1408,2.5
24029,Joliette--Manawan,Érica Poirier,Green Party,1014,1.8
24030,Jonquière,Fanny Boulanger,Conservative,15314,30.2
24030,Jonquière,Lise Garon,NDP-New Democratic Party,932,1.8
24030,Jonquière,Marie-Josée Yelle,Green Party,448,0.9
24030,Jonquière,Mario Simard,Bloc Québécois,20247,40.0
24030,Jonquière,Patrick Gaudreault,People's Party - PPC,516,1.0
24030,Jonquière,William Van Tassel,Liberal,13172,26.0
24031,La Pointe-de-l'Île,Geneviève Royer,Marxist-Leninist,181,0.3
24031,La Pointe-de-l'Île,Ghada Chaabi,NDP-New Democratic Party,2279,4.3
24031,La Pointe-de-l'Île,Mario Beaulieu,Bloc Québécois,22940,43.1
24031,La Pointe-de-l'Île,Olivier Huard,Green Party,977,1.8
24031,La Pointe-de-l'Île,Violetta Potapova,Conservative,6781,12.7
24031,La Pointe-de-l'Île,Viviane Minko,Liberal,20051,37.7
24032,La Prairie--Atateken,Alain Therrien,Bloc Québécois,23232,34.8
24032,La Prairie--Atateken,Barbara Joannette,Green Party,657,1.0
24032,La Prairie--Atateken,Dave Pouliot,Conservative,11505,17.2
24032,La Prairie--Atateken,Jacques Ramsay,Liberal,29418,44.1
24032,La Prairie--Atateken,Mathieu Boisvert,NDP-New Democratic Party,1588,2.4
24032,La Prairie--Atateken,Ruth Fontaine,People's Party - PPC,361,0.5
24033,Lac-Saint-Jean,Alexis Brunelle-Duceppe,Bloc Québécois,22069,46.2
24033,Lac-Saint-Jean,Dave Blackburn,Conservative,11792,24.7
24033,Lac-Saint-Jean,Denis Lemieux,Liberal,12536,26.3
24033,Lac-Saint-Jean,Hugues Boily-Maltais,NDP-New Democratic Party,819,1.7
24033,Lac-Saint-Jean,Lorie Bouchard,People's Party - PPC,540,1.1
24034,Lac-Saint-Louis,Francis Scarpaleggia,Liberal,43446,67.6
24034,Lac-Saint-Louis,Gregory Evdokias,NDP-New Democratic Party,1877,2.9
24034,Lac-Saint-Louis,Mathieu Dufort,People's Party - PPC,471,0.7
24034,Lac-Saint-Louis,Matthew Rusniak,Conservative,15203,23.7
24034,Lac-Saint-Louis,Raymond Frizzell,Green Party,915,1.4
24034,Lac-Saint-Louis,Tommy Fournier,Bloc Québécois,2330,3.6
