Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
24002,Abitibi--Témiscamingue,Vincent Palin-Bussières,Parti Rhinocéros Party,449
24003,Ahuntsic-Cartierville,Idil Issa,NDP-New Democratic Party,3333
24003,Ahuntsic-Cartierville,Linda Sullivan,Marxist-Leninist,273
24003,Ahuntsic-Cartierville,Margie Ramos,Conservative,7600
24003,Ahuntsic-Cartierville,Mélanie Joly,Liberal,30833
24003,Ahuntsic-Cartierville,Nabila Ben Youssef,Bloc Québécois,8538
24004,Alfred-Pellan,Angelo Iacono,Liberal,32934
24004,Alfred-Pellan,Isabel Dion,Bloc Québécois,12259
24004,Alfred-Pellan,Jordan Larochelle,NDP-New Democratic Party,2044
24004,Alfred-Pellan,Louis Ialenti,Conservative,12671
24004,Alfred-Pellan,Ludovic Mbany,People's Party - PPC,423
24005,Argenteuil--La Petite-Nation,Bertha Fuchsman-Small,Green Party,807
24005,Argenteuil--La Petite-Nation,Lindsey Therrien,People's Party - PPC,586
24005,Argenteuil--La Petite-Nation,Martin Charron,Conservative,14697
24005,Argenteuil--La Petite-Nation,Martin Héroux,Bloc Québécois,13520
24005,Argenteuil--La Petite-Nation,Michel Welt,NDP-New Democratic Party,1499
24005,Argenteuil--La Petite-Nation,Stéphane Lauzon,Liberal,28124
24006,Beauce,Annabelle Lafond-Poirier,NDP-New Democratic Party,1100
24006,Beauce,Gaétan Mathieu,Bloc Québécois,8595
24006,Beauce,Jason Groleau,Conservative,37604
24006,Beauce,Maryelle-Henriette Doumbia,Liberal,12057
24006,Beauce,Maxime Bernier,People's Party - PPC,3626
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Claude Debellefeuille,Bloc Québécois,30005
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Kristian Solarik,Green Party,802
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Martin Lévesque,People's Party - PPC,675
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Miguel Perras,Liberal,21939
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Priska St-Pierre,Conservative,13230
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Tyler Jones,NDP-New Democratic Party,1663
24008,Beauport--Limoilou,Andrée Massicotte,People's Party - PPC,396
24008,Beauport--Limoilou,Claude Moreau,Marxist-Leninist,95
24008,Beauport--Limoilou,Dalila Elhak,Green Party,924
24008,Beauport--Limoilou,Hugo Langlois,Conservative,18492
24008,Beauport--Limoilou,Julie Vignola,Bloc Québécois,17558
24008,Beauport--Limoilou,Raymond Côté,NDP-New Democratic Party,2095
24008,Beauport--Limoilou,Steeve Lavoie,Liberal,21858
24009,Bécancour--Nicolet--Saurel--Alnôbak,Lara Stillo,People's Party - PPC,432
24009,Bécancour--Nicolet--Saurel--Alnôbak,Louis Plamondon,Bloc Québécois,25506
24009,Bécancour--Nicolet--Saurel--Alnôbak,Michel Plourde,Conservative,11717
24009,Bécancour--Nicolet--Saurel--Alnôbak,Pierre Tousignant,Liberal,14813
24009,Bécancour--Nicolet--Saurel--Alnôbak,Tommy Gagnon,NDP-New Democratic Party,1112
24009,Bécancour--Nicolet--Saurel--Alnôbak,Yanick Lapierre,Green Party,738
24010,Bellechasse--Les Etchemins--Lévis,Dominique Vien,Conservative,32097
24010,Bellechasse--Les Etchemins--Lévis,Gaby Breton,Bloc Québécois,12244
24010,Bellechasse--Les Etchemins--Lévis,Glenn O'Farrell,Liberal,18642
24010,Bellechasse--Les Etchemins--Lévis,Marie-Philippe Gagnon Gauthier,NDP-New Democratic Party,1621
24010,Bellechasse--Les Etchemins--Lévis,Mario Fréchette,People's Party - PPC,794
24011,Beloeil--Chambly,Marie-Josée Béliveau,NDP-New Democratic Party,2391
24011,Beloeil--Chambly,Nicholas Malouin,Liberal,23136
24011,Beloeil--Chambly,Nicholas Manes,People's Party - PPC,482
24011,Beloeil--Chambly,Sylvain Goulet,Conservative,9199
24011,Beloeil--Chambly,Yves-François Blanchet,Bloc Québécois,32844
24012,Berthier--Maskinongé,Daniel Simon,Green Party,551
24012,Berthier--Maskinongé,Elia Gomez-Gnali,People's Party - PPC,575
24012,Berthier--Maskinongé,Peter Saliba,Conservative,10641
24012,Berthier--Maskinongé,Ruth Ellen Brosseau,NDP-New Democratic Party,13457
24012,Berthier--Maskinongé,Stéphane Bilodeau,Liberal,15056
24012,Berthier--Maskinongé,Yves Perron,Bloc Québécois,21676
24013,Bourassa,Abdelhaq Sari,Liberal,21198
24013,Bourassa,Catherine Gauvin,NDP-New Democratic Party,2137
24013,Bourassa,Dominique Théberge,Marxist-Leninist,140
24013,Bourassa,Jean-Marc Lamothe,People's Party - PPC,433
24013,Bourassa,Jency Mercier,Bloc Québécois,6206
24013,Bourassa,Néhémie Dumay,Conservative,5905
24013,Bourassa,Philippe Tessier,No Affiliation,183
24014,Brome--Missisquoi,Jack McLeod,People's Party - PPC,561
24014,Brome--Missisquoi,Jeff Boudreault,Bloc Québécois,20182
24014,Brome--Missisquoi,Louis Villeneuve,Liberal,34727
24014,Brome--Missisquoi,Michelle Corcos,Green Party,1139
24014,Brome--Missisquoi,Steve Charbonneau,Conservative,13743
24014,Brome--Missisquoi,Zoé Larose,NDP-New Democratic Party,1600
24015,Brossard--Saint-Lambert,Alexandra Mendès,Liberal,36541
24015,Brossard--Saint-Lambert,Gregory De Luca,Green Party,855
24015,Brossard--Saint-Lambert,Hector Huerta,People's Party - PPC,381
24015,Brossard--Saint-Lambert,Soledad Orihuela-Bouchard,Bloc Québécois,7837
24015,Brossard--Saint-Lambert,William Huynh-Jan,Conservative,11076
24015,Brossard--Saint-Lambert,Zeinab Mistou Akkaoui,NDP-New Democratic Party,2049
24016,Charlesbourg--Haute-Saint-Charles,Bladimir Laborit Infante,Bloc Québécois,12346
24016,Charlesbourg--Haute-Saint-Charles,Danick Bisson,Independent,357
24016,Charlesbourg--Haute-Saint-Charles,Dominique Harrisson,NDP-New Democratic Party,1752
24016,Charlesbourg--Haute-Saint-Charles,Louis Bellemare,Liberal,22597
24016,Charlesbourg--Haute-Saint-Charles,Paul Cyr,People's Party - PPC,516
24016,Charlesbourg--Haute-Saint-Charles,Pierre Paul-Hus,Conservative,27698
24017,Châteauguay--Les Jardins-de-Napierville,David De Repentigny,Conservative,13538
24017,Châteauguay--Les Jardins-de-Napierville,Hannah Wolker,NDP-New Democratic Party,1377
24017,Châteauguay--Les Jardins-de-Napierville,Martine Desrochers,Green Party,773
24017,Châteauguay--Les Jardins-de-Napierville,Nathalie Provost,Liberal,28224
24017,Châteauguay--Les Jardins-de-Napierville,Nicolas Guérin,People's Party - PPC,429
24017,Châteauguay--Les Jardins-de-Napierville,Patrick O'Hara,Bloc Québécois,18160
24018,Chicoutimi--Le Fjord,François Sabourin,People's Party - PPC,339
24018,Chicoutimi--Le Fjord,Marc St-Hilaire,Bloc Québécois,15857
24018,Chicoutimi--Le Fjord,Raphaël Émond,NDP-New Democratic Party,991
24018,Chicoutimi--Le Fjord,Richard Martel,Conservative,17356
24018,Chicoutimi--Le Fjord,Stéphane Proulx,Liberal,15820
24018,Chicoutimi--Le Fjord,Yves Laporte,Green Party,476
24019,Compton--Stanstead,Jacques Painchaud,Conservative,14292
24019,Compton--Stanstead,Marianne Dandurand,Liberal,29951
24019,Compton--Stanstead,Nathalie Bresse,Bloc Québécois,17305
24019,Compton--Stanstead,Paul Lehmann,People's Party - PPC,787
24019,Compton--Stanstead,Sébastien Tremblay,Green Party,1161
24019,Compton--Stanstead,Valérie Laliberté,NDP-New Democratic Party,2124
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Alexie Plourde,Green Party,682
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Bernard Généreux,Conservative,28873
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Diane Sénécal,Bloc Québécois,12598
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Iseult L'Heureux Hubert,NDP-New Democratic Party,1072
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Jean-François Morin,People's Party - PPC,464
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Rémi Massé,Liberal,19097
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Thibaud Mony,Parti Rhinocéros Party,206
24021,Côte-Nord--Kawawachikamach--Nitassinan,Gilles Babin,No Affiliation,193
24021,Côte-Nord--Kawawachikamach--Nitassinan,Kevin Coutu,Liberal,10185
24021,Côte-Nord--Kawawachikamach--Nitassinan,Marika Lalime,NDP-New Democratic Party,640
24021,Côte-Nord--Kawawachikamach--Nitassinan,Marilène Gill,Bloc Québécois,16243
24021,Côte-Nord--Kawawachikamach--Nitassinan,Mélanie Dorion,Conservative,9365
24021,Côte-Nord--Kawawachikamach--Nitassinan,Sébastien Beaulieu,Parti Rhinocéros Party,557
24022,Dorval--Lachine--LaSalle,Alioune Sarr,Conservative,10428
24022,Dorval--Lachine--LaSalle,Amir Badr Eldeen,Green Party,823
24022,Dorval--Lachine--LaSalle,André Lavigne,Parti Rhinocéros Party,251
24022,Dorval--Lachine--LaSalle,Angélique Soleil Lavoie,NDP-New Democratic Party,2104
24022,Dorval--Lachine--LaSalle,Anju Dhillon,Liberal,29927
24022,Dorval--Lachine--LaSalle,Katy Le Rougetel,No Affiliation,71
24022,Dorval--Lachine--LaSalle,Michael Patterson,People's Party - PPC,478
24022,Dorval--Lachine--LaSalle,Pauline Fleur Julie Postel,Bloc Québécois,6338
24023,Drummond,François Choquette,NDP-New Democratic Party,2607
24023,Drummond,François Fréchette,Conservative,12790
24023,Drummond,Ghada Jerbi,Liberal,15998
24023,Drummond,Martin Champoux,Bloc Québécois,24071
24023,Drummond,William Trottier,People's Party - PPC,773
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Alexis Deschênes,Bloc Québécois,26091
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Christian Rioux,People's Party - PPC,452
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Denise Giroux,NDP-New Democratic Party,1005
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Diane Lebouthillier,Liberal,21817
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Jean-Pierre Pigeon,Conservative,7047
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Shawn Grenier,Parti Rhinocéros Party,572
24025,Gatineau,Daniel Simoncic,NDP-New Democratic Party,1615
24025,Gatineau,Kethlande Pierre,Conservative,10982
24025,Gatineau,Mathieu Saint-Jean,People's Party - PPC,505
24025,Gatineau,Pierre Soublière,Marxist-Leninist,173
24025,Gatineau,Richard Nadeau,Bloc Québécois,9373
24025,Gatineau,Steven MacKinnon,Liberal,34751
24026,Hochelaga--Rosemont-Est,Carl Belley,Conservative,5402
24026,Hochelaga--Rosemont-Est,Christine Dandenault,Marxist-Leninist,242
24026,Hochelaga--Rosemont-Est,Jacob Pirro,Green Party,1329
24026,Hochelaga--Rosemont-Est,Julie Girard-Lemay,NDP-New Democratic Party,6671
