Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
35096,Scarborough Southwest,Fatima Shaban,NDP-New Democratic Party,2730
35096,Scarborough Southwest,Imran Khan,Centrist,165
35096,Scarborough Southwest,Michael Poulin,People's Party - PPC,567
35097,Scarborough--Woburn,Amina Bhaiyat,Independent,181
35097,Scarborough--Woburn,Ayub Sipra,Centrist,150
35097,Scarborough--Woburn,George Wedge,NDP-New Democratic Party,1466
35097,Scarborough--Woburn,Gianne Broughton,Green Party,499
35097,Scarborough--Woburn,Michael Coteau,Liberal,25281
35097,Scarborough--Woburn,Reddy Muttukuru,Conservative,14291
35098,Simcoe--Grey,Allan Kuhn,Green Party,991
35098,Simcoe--Grey,Bren Munro,Liberal,29455
35098,Simcoe--Grey,Giorgio Mammoliti,People's Party - PPC,523
35098,Simcoe--Grey,Jasleen Bains,NDP-New Democratic Party,1574
35098,Simcoe--Grey,Terry Dowdall,Conservative,35364
35099,Simcoe North,Adam Chambers,Conservative,32241
35099,Simcoe North,Melissa Lloyd,NDP-New Democratic Party,2508
35099,Simcoe North,Ray Little,Green Party,1260
35099,Simcoe North,Russ Emo,Christian Heritage Party,191
35099,Simcoe North,Ryan Rocca,Liberal,29767
35099,Simcoe North,Stephen Toivo Makk,People's Party - PPC,638
35100,Spadina--Harbourfront,Chi Nguyen,Liberal,31832
35100,Spadina--Harbourfront,Diana Filipova,Conservative,16286
35100,Spadina--Harbourfront,Gilbert Joseph Jubinville,People's Party - PPC,193
35100,Spadina--Harbourfront,Gordon Rand,Green Party,448
35100,Spadina--Harbourfront,Nick Lin,Marxist-Leninist,85
35100,Spadina--Harbourfront,Norm Di Pasquale,NDP-New Democratic Party,4107
35100,Spadina--Harbourfront,Shrey Rao,Independent,39
35101,St. Catharines,Bas Sluijmers,Conservative,27013
35101,St. Catharines,Chris Bittle,Liberal,34750
35101,St. Catharines,Christopher Reilly,Independent,306
35101,St. Catharines,Dennis Wilson,People's Party - PPC,522
35101,St. Catharines,Karen Orlandi,NDP-New Democratic Party,4021
35101,St. Catharines,Taha Alexander Haj-Ahmad,Centrist,198
35102,Stormont--Dundas--Glengarry,Eric Duncan,Conservative,37399
35102,Stormont--Dundas--Glengarry,Gordon Kubanek,Green Party,674
35102,Stormont--Dundas--Glengarry,Karl Ivan MacKinnon,Libertarian,274
35102,Stormont--Dundas--Glengarry,Mario Leclerc,NDP-New Democratic Party,1653
35102,Stormont--Dundas--Glengarry,Sarah Good,Liberal,26407
35103,Sudbury,Ian Symington,Conservative,23835
35103,Sudbury,Nadia Verrelli,NDP-New Democratic Party,4680
35103,Sudbury,Nicholas Bonderoff,People's Party - PPC,773
35103,Sudbury,Viviane Lapointe,Liberal,31551
35104,Sudbury East--Manitoulin--Nickel Belt,Andréane Chénier,NDP-New Democratic Party,4822
35104,Sudbury East--Manitoulin--Nickel Belt,Himal Hossain,Green Party,465
35104,Sudbury East--Manitoulin--Nickel Belt,Jim Belanger,Conservative,29156
35104,Sudbury East--Manitoulin--Nickel Belt,Justin Dean Newell Leroux,Libertarian,316
35104,Sudbury East--Manitoulin--Nickel Belt,Marc G. Serré,Liberal,25075
35104,Sudbury East--Manitoulin--Nickel Belt,Sharilynne St. Louis,People's Party - PPC,489
35105,Taiaiako'n--Parkdale--High Park,Anna Gorka,Green Party,700
35105,Taiaiako'n--Parkdale--High Park,Bhutila Karpoche,NDP-New Democratic Party,15003
35105,Taiaiako'n--Parkdale--High Park,Edward Fraser,Animal Protection Party,184
35105,Taiaiako'n--Parkdale--High Park,Karim Bardeesy,Liberal,36439
35105,Taiaiako'n--Parkdale--High Park,Lorne Gershuny,Marxist-Leninist,92
35105,Taiaiako'n--Parkdale--High Park,Rimmy Riarh,Communist,137
35105,Taiaiako'n--Parkdale--High Park,Terry Parker,Marijuana Party,96
35105,Taiaiako'n--Parkdale--High Park,Wladyslaw Lizon,Conservative,12662
35106,Thornhill,Amir Hart,People's Party - PPC,440
35106,Thornhill,Dominic Piotrowski,Green Party,353
35106,Thornhill,Liane Kotler,Liberal,20873
35106,Thornhill,Melissa Lantsman,Conservative,44419
35106,Thornhill,William McCarty,NDP-New Democratic Party,833
35107,Thunder Bay--Rainy River,Brendan Hyatt,Conservative,18685
35107,Thunder Bay--Rainy River,Eric Arner,Green Party,334
35107,Thunder Bay--Rainy River,Marcus Powlowski,Liberal,21125
35107,Thunder Bay--Rainy River,Sabrina Ree,People's Party - PPC,433
35107,Thunder Bay--Rainy River,Yuk-Sem Won,NDP-New Democratic Party,2954
35108,Thunder Bay--Superior North,Amos Bradley,People's Party - PPC,459
35108,Thunder Bay--Superior North,Bob Herman,Conservative,16267
35108,Thunder Bay--Superior North,John Malcolm Northey,Green Party,417
35108,Thunder Bay--Superior North,Joy Wakefield,NDP-New Democratic Party,3235
35108,Thunder Bay--Superior North,Patty Hajdu,Liberal,25134
35109,Toronto Centre,Cleveland Marshall,Independent,90
35109,Toronto Centre,Evan Solomon,Liberal,37907
35109,Toronto Centre,Luis Ibarra,Conservative,12321
35109,Toronto Centre,Nathen Mazri,People's Party - PPC,235
35109,Toronto Centre,Olivia Iheme,Green Party,664
35109,Toronto Centre,Philip Fernandez,Marxist-Leninist,170
35109,Toronto Centre,Samantha Green,NDP-New Democratic Party,7358
35109,Toronto Centre,Simon Luisi,Animal Protection Party,177
35110,Toronto--Danforth,Ashik Hussain,Conservative,11187
35110,Toronto--Danforth,Clare Hacksel,NDP-New Democratic Party,7626
35110,Toronto--Danforth,Julie Dabrusin,Liberal,39191
35110,Toronto--Danforth,Liz White,Animal Protection Party,251
35110,Toronto--Danforth,Silvia Stardust,Green Party,626
35111,Toronto--St. Paul's,Bruce Levy,NDP-New Democratic Party,2496
35111,Toronto--St. Paul's,Cynthia Valdron,Canadian Future Party,58
35111,Toronto--St. Paul's,David Gershuny,Marxist-Leninist,133
35111,Toronto--St. Paul's,Don Stewart,Conservative,23700
35111,Toronto--St. Paul's,Joseph Frasca,People's Party - PPC,329
35111,Toronto--St. Paul's,Leslie Church,Liberal,44313
35111,Toronto--St. Paul's,Shane Philips,Green Party,552
35112,University--Rosedale,Adam Golding,Independent,118
35112,University--Rosedale,Barbara Biley,Marxist-Leninist,138
35112,University--Rosedale,Chrystia Freeland,Liberal,39847
35112,University--Rosedale,Drew Garvie,Communist,304
35112,University--Rosedale,Ignacio Mongrell,Green Party,1066
35112,University--Rosedale,Liz Grade,Conservative,14624
35112,University--Rosedale,Serena Purdy,NDP-New Democratic Party,6168
35113,Vaughan--Woodbridge,Ali Bahman,NDP-New Democratic Party,891
35113,Vaughan--Woodbridge,Francesco Sorbara,Liberal,25617
35113,Vaughan--Woodbridge,Michael Guglielmin,Conservative,40422
35113,Vaughan--Woodbridge,Roman Yevseyev,People's Party - PPC,425
35114,Waterloo,Bardish Chagger,Liberal,37579
35114,Waterloo,Douglas Ross,People's Party - PPC,348
35114,Waterloo,Hans Roach,Independent,105
35114,Waterloo,Héline Chow,NDP-New Democratic Party,2617
35114,Waterloo,Jamie Hari,Independent,76
35114,Waterloo,Santa Claus Chatham,Parti Rhinocéros Party,119
35114,Waterloo,Simon Guthrie,Green Party,1599
35114,Waterloo,Val Neekman,Independent,179
35114,Waterloo,Waseem Botros,Conservative,20571
35115,Wellington--Halton Hills North,Andrew Bascombe,NDP-New Democratic Party,1346
35115,Wellington--Halton Hills North,Liam Stiles,Green Party,1389
35115,Wellington--Halton Hills North,Michael Chong,Conservative,33736
35115,Wellington--Halton Hills North,Sean Carscadden,Liberal,29609
35115,Wellington--Halton Hills North,Syl Carle,People's Party - PPC,566
35116,Whitby,Andrew Di Lullo,Green Party,506
35116,Whitby,Kevin Goswell,NDP-New Democratic Party,1638
35116,Whitby,Nouman Mian,Centrist,206
35116,Whitby,Ryan Turnbull,Liberal,35624
35116,Whitby,Steve Yamada,Conservative,29620
35117,Willowdale,Ali Ehsassi,Liberal,25488
35117,Willowdale,Christy Kheirallah,NDP-New Democratic Party,1224
35117,Willowdale,James Lin,Conservative,20977
35118,Windsor--Tecumseh--Lakeshore,Alex Ilijoski,NDP-New Democratic Party,4240
35118,Windsor--Tecumseh--Lakeshore,Beth St Denis,Christian Heritage Party,203
35118,Windsor--Tecumseh--Lakeshore,Helmi Charif,Centrist,223
35118,Windsor--Tecumseh--Lakeshore,Irek Kusmierczyk,Liberal,32086
35118,Windsor--Tecumseh--Lakeshore,Kathy Borrelli,Conservative,32090
35118,Windsor--Tecumseh--Lakeshore,Nick Babic,People's Party - PPC,828
35118,Windsor--Tecumseh--Lakeshore,Roxanne Tellier,Green Party,468
35119,Windsor West,Brian Masse,NDP-New Democratic Party,15256
35119,Windsor West,Harb Gill,Conservative,21412
35119,Windsor West,Jacob Bezaire,People's Party - PPC,553
35119,Windsor West,Joseph Markham,Communist,195
35119,Windsor West,Louay Ahmad,Green Party,397
35119,Windsor West,Margaret Villamizar,Marxist-Leninist,89
35119,Windsor West,Richard Pollock,Liberal,16986
35120,York Centre,Roman Baber,Conservative,26110
35120,York Centre,Ya'ara Saks,Liberal,20318
35120,York Centre,Yusuf Ulukanligil,NDP-New Democratic Party,1191
35121,York--Durham,Jacob Mantle,Conservative,40329
35121,York--Durham,Justin Graham,NDP-New Democratic Party,1829
35121,York--Durham,Matt Pearce,Green Party,797
35121,York--Durham,Patricia Conlin,People's Party - PPC,901
35121,York--Durham,Robert Grossi,Liberal,28726
35122,York South--Weston--Etobicoke,Ahmed Hussen,Liberal,24663
35122,York South--Weston--Etobicoke,Louise James,NDP-New Democratic Party,2190
35122,York South--Weston--Etobicoke,Nicolas Pham,Conservative,17746
46001,Brandon--Souris,Ghazanfar Ali Tarar,Liberal,10766
46001,Brandon--Souris,Grant Jackson,Conservative,28624
46001,Brandon--Souris,Quentin Robinson,NDP-New Democratic Party,6637
46002,Churchill--Keewatinook Aski,Dylan Young,People's Party - PPC,349
46002,Churchill--Keewatinook Aski,Lachlan De Nardi,Conservative,4927
46002,Churchill--Keewatinook Aski,Niki Ashton,NDP-New Democratic Party,5880
46002,Churchill--Keewatinook Aski,Rebecca Chartrand,Liberal,9313
46003,Elmwood--Transcona,Colin Reynolds,Conservative,19463
46003,Elmwood--Transcona,Collin Watson,People's Party - PPC,396
46003,Elmwood--Transcona,Ian MacIntyre,Liberal,10512
46003,Elmwood--Transcona,Leila Dance,NDP-New Democratic Party,16138
46003,Elmwood--Transcona,Nicolas Geddert,Green Party,321
46004,Kildonan--St. Paul,Emily Clark,NDP-New Democratic Party,3863
46004,Kildonan--St. Paul,Erik Holmes,People's Party - PPC,486
46004,Kildonan--St. Paul,Raquel Dancho,Conservative,26364
46004,Kildonan--St. Paul,Thomas Naaykens,Liberal,24808
46005,Portage--Lisgar,Branden Leslie,Conservative,31889
46005,Portage--Lisgar,Janine G. Gibson,Green Party,595
46005,Portage--Lisgar,Kevin Larson,People's Party - PPC,977
46005,Portage--Lisgar,Lisa Tessier,NDP-New Democratic Party,2011
46005,Portage--Lisgar,Robert Kreis,Liberal,10493
46006,Provencher,Blair Mahaffy,Green Party,705
46006,Provencher,Brandy Schmidt,NDP-New Democratic Party,2398
46006,Provencher,Noël Gautron,People's Party - PPC,942
46006,Provencher,Ted Falk,Conservative,34364
46006,Provencher,Trevor Kirczenow,Liberal,13394
46007,Riding Mountain,Andrew Douglas Maxwell,NDP-New Democratic Party,3072
46007,Riding Mountain,Dan Mazier,Conservative,28409
46007,Riding Mountain,Jim Oliver,People's Party - PPC,564
46007,Riding Mountain,Liz Clayton,Green Party,547
46007,Riding Mountain,Terry Hayward,Liberal,9281
46008,St. Boniface--St. Vital,Gilles Pelletier,People's Party - PPC,523
46008,St. Boniface--St. Vital,Ginette Lavack,Liberal,32599
46008,St. Boniface--St. Vital,Shola Agboola,Conservative,17625
46008,St. Boniface--St. Vital,Thomas Linner,NDP-New Democratic Party,3773
46009,Selkirk--Interlake--Eastman,Byron Gryba,People's Party - PPC,473
46009,Selkirk--Interlake--Eastman,Chris Riddell,United Party of Canada (UP),404
46009,Selkirk--Interlake--Eastman,James Bezan,Conservative,32788
46009,Selkirk--Interlake--Eastman,Josef Estabrooks,NDP-New Democratic Party,3535
46009,Selkirk--Interlake--Eastman,Rhonda Nichol,Liberal,16570
46009,Selkirk--Interlake--Eastman,Wayne James,Green Party,709
46010,Winnipeg Centre,Debra Wall,Animal Protection Party,213
46010,Winnipeg Centre,Donald Grant,People's Party - PPC,367
46010,Winnipeg Centre,Gary Gervais,Green Party,389
46010,Winnipeg Centre,Leah Gazan,NDP-New Democratic Party,13524
46010,Winnipeg Centre,Rahul Walia,Liberal,12138
46010,Winnipeg Centre,Tom Bambrick,Conservative,7658
46011,Winnipeg North,Adebayo Akinrogunde,NDP-New Democratic Party,2059
46011,Winnipeg North,Angela Brydges,Green Party,194
46011,Winnipeg North,Jessica Bailon,People's Party - PPC,274
46011,Winnipeg North,Kevin Lamoureux,Liberal,19792
46011,Winnipeg North,Rachel Punzalan,Conservative,11740
46011,Winnipeg North,Sarah Borbridge,Communist,114
46012,Winnipeg South,Janice Morley-Lecomte,Conservative,16252
46012,Winnipeg South,Joanne Bjornson,NDP-New Democratic Party,2114
46012,Winnipeg South,Johann Rempel Fehr,People's Party - PPC,385
46012,Winnipeg South,Manjit Kaur,Green Party,231
46012,Winnipeg South,Terry Duguid,Liberal,27337
46013,Winnipeg South Centre,Ben Carr,Liberal,33834
46013,Winnipeg South Centre,Cam Scott,Communist,314
46013,Winnipeg South Centre,Chris Petriew,Green Party,450
46013,Winnipeg South Centre,Jaclyn Cummings,People's Party - PPC,272
46013,Winnipeg South Centre,Jorge Requena Ramos,NDP-New Democratic Party,3463
46013,Winnipeg South Centre,Royden Brousseau,Conservative,14748
46013,Winnipeg South Centre,Tait Palsson,Independent,97
46014,Winnipeg West,Avery Selby-Lyons,NDP-New Democratic Party,2218
46014,Winnipeg West,Dennis Bayomi,Green Party,438
46014,Winnipeg West,Doug Eyolfson,Liberal,30276
46014,Winnipeg West,Marty Morantz,Conservative,22659
47001,Battlefords--Lloydminster--Meadow Lake,Darrell Patan,Canadian Future Party,264
47001,Battlefords--Lloydminster--Meadow Lake,Larry Ingram,Liberal,7073
47001,Battlefords--Lloydminster--Meadow Lake,Rosemarie Falk,Conservative,28634
47001,Battlefords--Lloydminster--Meadow Lake,William Petryk,NDP-New Democratic Party,1816
47002,Carlton Trail--Eagle Creek,Cheryl Loadman,NDP-New Democratic Party,2616
47002,Carlton Trail--Eagle Creek,Katelyn Zimmer,Liberal,8008
47002,Carlton Trail--Eagle Creek,Kelly Block,Conservative,36427
47003,Desnethé--Missinippi--Churchill River,Buckley Belanger,Liberal,5876
47003,Desnethé--Missinippi--Churchill River,Doug Racine,NDP-New Democratic Party,850
47003,Desnethé--Missinippi--Churchill River,Jim Lemaigre,Conservative,2301
47004,Moose Jaw--Lake Centre--Lanigan,Britt Baumann,NDP-New Democratic Party,3458
47004,Moose Jaw--Lake Centre--Lanigan,Chey Craik,People's Party - PPC,1358
47004,Moose Jaw--Lake Centre--Lanigan,Fraser Tolmie,Conservative,32991
47004,Moose Jaw--Lake Centre--Lanigan,Mike Gardiner,Green Party,411
47004,Moose Jaw--Lake Centre--Lanigan,Tabitha Mukamusoni,Liberal,7661
47005,Prince Albert,Christopher Hadubiak,Liberal,7451
47005,Prince Albert,Randy Hoback,Conservative,27763
47005,Prince Albert,Virginia Kutzan,NDP-New Democratic Party,3630
47006,Regina--Lewvan,Godwin Ezizor,People's Party - PPC,243
47006,Regina--Lewvan,Mac Hird,Liberal,18893
47006,Regina--Lewvan,Michael Wright,Green Party,272
47006,Regina--Lewvan,Ray Aldinger,NDP-New Democratic Party,2573
47006,Regina--Lewvan,Warren Steinley,Conservative,21988
47007,Regina--Qu'Appelle,Andrew Scheer,Conservative,27024
47007,Regina--Qu'Appelle,Chris Simmie,NDP-New Democratic Party,3388
47007,Regina--Qu'Appelle,Dionne Fehler,People's Party - PPC,441
47007,Regina--Qu'Appelle,Rahima Mian,Liberal,11391
47008,Regina--Wascana,Jeffrey Walters,Liberal,19252
47008,Regina--Wascana,Kaitlyn Stadnyk,NDP-New Democratic Party,2138
47008,Regina--Wascana,Kimberly Epp,Green Party,289
47008,Regina--Wascana,Michael Kram,Conservative,22072
47008,Regina--Wascana,Peter Bruce,People's Party - PPC,326
47009,Saskatoon South,Hamish Graham,Green Party,310
47009,Saskatoon South,Jacob Gadzella,NDP-New Democratic Party,4515
47009,Saskatoon South,Kevin Waugh,Conservative,24516
47009,Saskatoon South,Richard Brent Wintringham,People's Party - PPC,308
47009,Saskatoon South,Rokhan Sarwar,Liberal,20107
47010,Saskatoon--University,Corey Tochor,Conservative,23178
47010,Saskatoon--University,Greg Poelzer,Liberal,19622
47010,Saskatoon--University,Isaiah Hunter,Green Party,263
47010,Saskatoon--University,Jaxson Boot,People's Party - PPC,327
47010,Saskatoon--University,Melissa McGillivray,NDP-New Democratic Party,4035
47011,Saskatoon West,Brad Redekopp,Conservative,19814
47011,Saskatoon West,Chad Eggerman,Liberal,10254
47011,Saskatoon West,Naomi Hunter,Green Party,376
47011,Saskatoon West,Rachel Loewen Walker,NDP-New Democratic Party,7187
47012,Souris--Moose Mountain,Aziz Mian,Liberal,4051
47012,Souris--Moose Mountain,Lyndon Dayman,Canadian Future Party,304
47012,Souris--Moose Mountain,Remi Rheault,Green Party,235
47012,Souris--Moose Mountain,Sheena Muirhead Koops,NDP-New Democratic Party,1888
47012,Souris--Moose Mountain,Steven Bonk,Conservative,34793
47012,Souris--Moose Mountain,Travis Patron,Independent,157
47013,Swift Current--Grasslands--Kindersley,Alex McPhee,NDP-New Democratic Party,2250
47013,Swift Current--Grasslands--Kindersley,Jeremy Patzer,Conservative,32292
47013,Swift Current--Grasslands--Kindersley,Maria Rose Lewans,Independent,426
47013,Swift Current--Grasslands--Kindersley,William Caton,Liberal,4420
47014,Yorkton--Melville,Alec Guggenmos,Libertarian,226
47014,Yorkton--Melville,Cathay Wagantall,Conservative,28702
47014,Yorkton--Melville,Luke Guimond,Liberal,5338
47014,Yorkton--Melville,Michaela Krakowetz,NDP-New Democratic Party,2034
47014,Yorkton--Melville,Valerie Brooks,Green Party,713
48001,Airdrie--Cochrane,Blake Richards,Conservative,50252
48001,Airdrie--Cochrane,Christopher Bell,Christian Heritage Party,380
48001,Airdrie--Cochrane,David Sabine,Libertarian,623
48001,Airdrie--Cochrane,Sarah Zagoda,NDP-New Democratic Party,2591
48001,Airdrie--Cochrane,Sean Secord,Liberal,16714
48002,Battle River--Crowfoot,Brent Sutton,Liberal,7566
48002,Battle River--Crowfoot,Damien Kurek,Conservative,53684
48002,Battle River--Crowfoot,Douglas Gook,Green Party,474
48002,Battle River--Crowfoot,James MacKay,NDP-New Democratic Party,2061
48002,Battle River--Crowfoot,Jonathan Bridges,People's Party - PPC,1022
48003,Bow River,Aaron Patton,United Party of Canada (UP),296
48003,Bow River,Bentley Barnes,Liberal,9562
48003,Bow River,David Bexte,Conservative,44605
48003,Bow River,Louisa Gwin,NDP-New Democratic Party,1689
48003,Bow River,Tom Lipp,Christian Heritage Party,402
48004,Calgary Centre,Beau Shaw,NDP-New Democratic Party,1665
48004,Calgary Centre,Greg McLean,Conservative,31604
48004,Calgary Centre,Jayden Baldonado,Green Party,362
48004,Calgary Centre,Lindsay Luhnau,Liberal,28824
48004,Calgary Centre,Robert Hawley,People's Party - PPC,365
48004,Calgary Centre,Scott Fea,Parti Rhinocéros Party,126
48005,Calgary Confederation,Artyom Ovsepyan,People's Party - PPC,302
48005,Calgary Confederation,Corey Hogan,Liberal,33112
48005,Calgary Confederation,Jeffrey Reid Marsh,Canadian Future Party,198
48005,Calgary Confederation,Jeremy Nixon,Conservative,31839
48005,Calgary Confederation,Keira Gunn,NDP-New Democratic Party,2844
48005,Calgary Confederation,Kevan Hunter,Marxist-Leninist,144
48005,Calgary Confederation,Richard Willott,Green Party,400
48006,Calgary Crowfoot,Jim Samuelson,NDP-New Democratic Party,1741
48006,Calgary Crowfoot,Lachlan Van Egmond,Independent,131
48006,Calgary Crowfoot,Nanette Nerland,Green Party,346
48006,Calgary Crowfoot,Pat Kelly,Conservative,39971
48006,Calgary Crowfoot,Shahnaz Munir,Liberal,25386
48006,Calgary Crowfoot,Yvonne Snyder,People's Party - PPC,360
48007,Calgary East,Carey Rutherford,Green Party,664
48007,Calgary East,Garry Dirk,Christian Heritage Party,321
48007,Calgary East,Harry Dhillon,People's Party - PPC,908
48007,Calgary East,Jasraj Hallan,Conservative,32490
48007,Calgary East,Jennifer Geha,NDP-New Democratic Party,2092
48007,Calgary East,Jonathan Trautman,Communist,137
48007,Calgary East,Priti Obhrai-Martin,Liberal,17062
48008,Calgary Heritage,Becki Zimmerman,NDP-New Democratic Party,1691
48008,Calgary Heritage,Chris Galas,Independent,280
48008,Calgary Heritage,Larry R. Heather,Christian Heritage Party,268
48008,Calgary Heritage,Ravenmoon Crocker,Green Party,493
48008,Calgary Heritage,Scott Arnott,Liberal,23673
48008,Calgary Heritage,Shuv Majumdar,Conservative,42088
48009,Calgary McKnight,Arlington Antonio Santiago,NDP-New Democratic Party,1204
48009,Calgary McKnight,Benjamin Cridland,Canadian Future Party,162
48009,Calgary McKnight,Dalwinder Gill,Conservative,20863
48009,Calgary McKnight,Evelyn Tanaka,Green Party,273
48009,Calgary McKnight,George Chahal,Liberal,19546
48009,Calgary McKnight,Najeeb Butt,People's Party - PPC,323
48009,Calgary McKnight,Syed Hasnain,Centrist,107
48010,Calgary Midnapore,Adam Delgado,Green Party,495
48010,Calgary Midnapore,Austin Mullins,NDP-New Democratic Party,2271
48010,Calgary Midnapore,Colin Kindret,People's Party - PPC,556
48010,Calgary Midnapore,Stephanie Kusie,Conservative,48131
48010,Calgary Midnapore,Sunjiv Raval,Liberal,21979
48011,Calgary Nose Hill,Addison Fach,Green Party,430
48011,Calgary Nose Hill,Ahmed Khan,NDP-New Democratic Party,1975
48011,Calgary Nose Hill,Michelle Rempel Garner,Conservative,36597
48011,Calgary Nose Hill,Peggy Askin,Marxist-Leninist,115
48011,Calgary Nose Hill,Tom Becker,Liberal,22276
48011,Calgary Nose Hill,Vanessa Wang,Parti Rhinocéros Party,199
48012,Calgary Shepard,Donald Legere,People's Party - PPC,383
48012,Calgary Shepard,Gul Khan,Liberal,18421
48012,Calgary Shepard,Robert Frasch,Green Party,302
48012,Calgary Shepard,Tom Kmiec,Conservative,44363
48012,Calgary Shepard,Tory Tomblin,NDP-New Democratic Party,1780
48013,Calgary Signal Hill,Bryndis Whitson,Liberal,25174
48013,Calgary Signal Hill,David GL McKenzie,Conservative,41638
48013,Calgary Signal Hill,Grant Strem,People's Party - PPC,492
48013,Calgary Signal Hill,Khalis Ahmed,NDP-New Democratic Party,1656
48013,Calgary Signal Hill,Paul Godard,Canadian Future Party,265
48014,Calgary Skyview,Amanpreet S. Gill,Conservative,27808
48014,Calgary Skyview,Hafeez Malik,Liberal,18842
48014,Calgary Skyview,Jag Anand,Independent,529
48014,Calgary Skyview,Minesh Patel,Independent,1002
48014,Calgary Skyview,Rajesh Angral,NDP-New Democratic Party,1351
48014,Calgary Skyview,Scott Calverley,Independent,620
48015,Edmonton Centre,David John Bohonos,Christian Heritage Party,158
48015,Edmonton Centre,Eleanor Olszewski,Liberal,24138
48015,Edmonton Centre,Gregory Bell,Independent,155
48015,Edmonton Centre,John Ross,People's Party - PPC,468
48015,Edmonton Centre,Merryn Edwards de la O,Marxist-Leninist,67
48015,Edmonton Centre,Mike Dutcher,Independent,137
48015,Edmonton Centre,Naomi Rankin,Communist,133
48015,Edmonton Centre,Ronald S. Billingsley Jr.,Independent,106
48015,Edmonton Centre,Sayid Ahmed,Conservative,20626
48015,Edmonton Centre,Trisha Estabrooks,NDP-New Democratic Party,8440
48016,Edmonton Gateway,Ashok Patel,Independent,838
48016,Edmonton Gateway,Jeremy Hoefsloot,Liberal,19435
48016,Edmonton Gateway,Madeline Mayes,NDP-New Democratic Party,2565
48016,Edmonton Gateway,Paul McCormack,People's Party - PPC,474
48016,Edmonton Gateway,Rod Loyola,No Affiliation,2455
48016,Edmonton Gateway,Tim Uppal,Conservative,26385
48017,Edmonton Griesbach,Alex Boykowich,Communist,146
48017,Edmonton Griesbach,Blake Desjarlais,NDP-New Democratic Party,16717
48017,Edmonton Griesbach,Brent Tyson,Canadian Future Party,72
48017,Edmonton Griesbach,Crystal Vargas,Independent,118
48017,Edmonton Griesbach,Kerry Diotte,Conservative,22256
48017,Edmonton Griesbach,Mary Joyce,Marxist-Leninist,64
48017,Edmonton Griesbach,Michael Hunter,Green Party,302
48017,Edmonton Griesbach,Patrick Lennox,Liberal,8973
48017,Edmonton Griesbach,Thomas Matty,People's Party - PPC,318
48018,Edmonton Manning,Blair-Marie Coles,Liberal,17603
48018,Edmonton Manning,Lesley Thompson,NDP-New Democratic Party,4935
48018,Edmonton Manning,Robert Bard,People's Party - PPC,824
48018,Edmonton Manning,Ziad Aboultaif,Conservative,26445
48019,Edmonton Northwest,Albert Carson,People's Party - PPC,593
48019,Edmonton Northwest,Billy Morin,Conservative,29194
48019,Edmonton Northwest,Colleen Rice,Green Party,335
48019,Edmonton Northwest,Lindsey Machona,Liberal,20907
48019,Edmonton Northwest,Omar Abubakar,NDP-New Democratic Party,3597
48020,Edmonton Riverbend,Dwayne Dudiak,People's Party - PPC,410
48020,Edmonton Riverbend,Mark Minenko,Liberal,27075
48020,Edmonton Riverbend,Matt Jeneroux,Conservative,30343
48020,Edmonton Riverbend,Susan Cake,NDP-New Democratic Party,2563
48021,Edmonton Southeast,Amarjeet Sohi,Liberal,18481
48021,Edmonton Southeast,Corinne Benson,Communist,268
48021,Edmonton Southeast,Gurleen Chandi,Independent,292
48021,Edmonton Southeast,Harpreet Grewal,NDP-New Democratic Party,2536
48021,Edmonton Southeast,Jagsharan Singh Mahal,Conservative,25206
48021,Edmonton Southeast,Martin Schuetza,People's Party - PPC,881
48022,Edmonton Strathcona,Atul Deshmukh,Green Party,366
48022,Edmonton Strathcona,Christian Bourque,Communist,181
48022,Edmonton Strathcona,David Joel Wojtowicz,People's Party - PPC,386
48022,Edmonton Strathcona,Graham Lettner,Independent,250
48022,Edmonton Strathcona,Heather McPherson,NDP-New Democratic Party,28027
48022,Edmonton Strathcona,Miles Berry,Conservative,19768
48022,Edmonton Strathcona,Ron Thiering,Liberal,10709
48023,Edmonton West,Brad Fournier,Liberal,23995
48023,Edmonton West,Brent Kinzel,People's Party - PPC,534
48023,Edmonton West,Kelly McCauley,Conservative,31201
48023,Edmonton West,Peggy Morton,Marxist-Leninist,121
48023,Edmonton West,Sean McQuillan,NDP-New Democratic Party,3164
48024,Foothills,Emma Hoberg,Green Party,589
48024,Foothills,John Barlow,Conservative,54874
48024,Foothills,John Bruinsma,Liberal,13706
48024,Foothills,Kaitte Aurora,NDP-New Democratic Party,1923
48024,Foothills,Paul O'Halloran,People's Party - PPC,796
48025,Fort McMurray--Cold Lake,Alan Clarke,People's Party - PPC,896
48025,Fort McMurray--Cold Lake,Brian Deheer,Green Party,290
48025,Fort McMurray--Cold Lake,Kaitlyn Staines,Liberal,7193
48025,Fort McMurray--Cold Lake,Kulbir Chawla,Independent,101
48025,Fort McMurray--Cold Lake,Laila Goodridge,Conservative,39649
48025,Fort McMurray--Cold Lake,You-Ju Choi,NDP-New Democratic Party,1337
48026,Grande Prairie,Chris Warkentin,Conservative,47904
48026,Grande Prairie,Donovan Eckstrom,Parti Rhinocéros Party,291
48026,Grande Prairie,Elliot McDavid,Independent,223
48026,Grande Prairie,Jennifer Villebrun,NDP-New Democratic Party,2460
48026,Grande Prairie,Maureen Mcleod,Liberal,6946
48026,Grande Prairie,Shawn McLean,People's Party - PPC,828
